index,TopPosition,Latitude,Longitude,N_like,N_comments,N_post,N_like_medio,Turism_Porcentaje
81,paseo-de-la-ciudadela,39.474036,-0.3680119,271.0,4,11,24.636363636363637,75.0
107,restaurante-copenhagen-valencia,39.4607625,-0.373582,765.0,53,679,1.1266568483063328,75.0
0,agora-valencia,39.45390735,-0.34972368351886113,237.0,18,81,2.925925925925926,75.0
46,holbox-valencia,39.469534100000004,-0.37980440000000004,202.0,10,35,5.771428571428571,75.0
32,colla-monlleo-plaza-redonda12-valencia,39.47377279999999,-0.3766074345720537,143.0,5,45,3.1777777777777776,75.0
3,alqueria-de-la-font-den-corts,39.4478667,-0.3601399,284.0,17,206,1.3786407766990292,75.0
38,el-poblet-restaurante,39.469739700000005,-0.374393,1521.0,31,922,1.6496746203904555,75.0
39,esglesia-de-sant-joan-del-mercat,39.47425525,-0.3792658348113625,92.0,5,21,4.380952380952381,75.0
37,el-coso-del-mar,39.463687,-0.323421,208.0,9,20,10.4,75.0
75,oceanografic-valencia,39.45304950000001,-0.3471809710255356,40271.0,1425,1739,23.157561817136287,74.94824016563147
60,la-patacona-alboraya,39.4847569,-0.3249869330794431,8280.0,376,836,9.904306220095695,74.82014388489209
1,ajuntament-de-valencia,39.46980005,-0.3774217468584288,45323.0,1191,858,52.824009324009324,74.79674796747967
118,torrefiel,39.4946478,-0.376130279007177,5047.0,174,337,14.97626112759644,73.91304347826086
34,edificio-veles-e-vents-valencia,39.46180485,-0.3252861911139594,3448.0,116,459,7.5119825708061,72.97297297297297
11,benimamet-valenciana-spain,39.502815999999996,-0.4210846,5936.0,336,707,8.396039603960396,72.88135593220339
86,platja-de-la-malva-rosa,39.4792914,-0.3235806674213336,19571.0,800,2763,7.083242851972494,72.81105990783409
82,patraix,39.45763165,-0.4016245929309713,11516.0,646,820,14.04390243902439,72.72727272727273
31,club-de-tenis-valencia,39.4838979,-0.36518056937869664,1282.0,27,869,1.475258918296893,72.22222222222221
123,valencia-el-mercat,39.4738165,-0.3778455,10661.0,199,848,12.57193396226415,72.0
17,burjassot-valencia,39.5090599,-0.4108581,7559.0,315,865,8.738728323699421,71.875
71,mercat-central-de-valencia,39.4734989,-0.3788958031249997,40360.0,1401,1242,32.49597423510467,71.42857142857143
99,poliesportiu-verge-del-carme-betero,39.47528565,-0.3370199041926384,846.0,48,928,0.9116379310344828,71.42857142857143
89,playa-de-la-patacona,39.48947845,-0.3241455401690797,49193.0,1970,881,55.83768444948922,71.29840546697038
84,piur,39.4688056,-0.37375440000000004,1654.0,62,118,14.016949152542374,70.83333333333334
40,estacion-del-norte,39.4662357,-0.37737719999999997,12665.0,398,1016,12.465551181102363,70.83333333333334
106,puerto-de-valencia,39.4425081,-0.3180888874243078,56460.0,2032,883,63.94110985277463,70.29288702928869
101,port-saplaya-alboraya,39.51054715,-0.3190525850042426,58649.0,2046,870,67.41264367816092,70.13232514177695
72,mercat-de-russafa,39.46203975,-0.37139256693932426,3024.0,127,878,3.4441913439635536,69.23076923076923
54,jardin-del-turia,39.4810604,-0.37662429999999997,17566.0,741,816,21.526960784313726,69.23076923076923
70,mercado-del-cabanyal,39.4678464,-0.33323235192228795,3334.0,142,904,3.688053097345133,67.9245283018868
4,aqua-multiespacio,39.4566695,-0.3458803071942413,4828.0,188,820,5.88780487804878,67.24137931034483
124,veles-e-vents,39.46110595,-0.32420785148750164,8493.0,341,836,10.159090909090908,67.21311475409836
105,puente-de-las-gargolas,39.4620099,-0.3601919,423.0,15,20,21.15,66.66666666666666
111,sagardi-valencia-centro,39.4733028,-0.37612829999999997,30.0,1,478,0.06276150627615062,66.66666666666666
100,pont-de-la-mar,39.470212,-0.36461950000000004,143.0,4,16,8.9375,66.66666666666666
97,plaza-del-cedro,39.47173945,-0.34706871190128885,1323.0,86,158,8.373417721518987,66.66666666666666
110,ryukishin-valencia,39.4668685,-0.3648617,912.0,39,679,1.3431516936671575,66.66666666666666
125,voltereta,39.4926094,-0.40026849999999997,2219.0,69,213,10.417840375586854,66.66666666666666
69,mercado-de-colon,39.4693424,-0.36816020000000005,421.0,25,96,4.385416666666667,66.66666666666666
30,ciutat-de-les-arts-i-les-ciencies-ciudad-de-las-artes-y-las-ciencias,39.4560662,-0.35296320000000003,48162.0,1668,2552,18.872257053291538,66.4850136239782
64,lhemisferic,39.456651,-0.3538617414895151,5104.0,116,189,27.005291005291006,64.28571428571429
10,benimaclet-valenciana-spain,39.48654445,-0.3560021788227267,27400.0,1318,811,33.785450061652284,63.39066339066339
7,barcelo-valencia,39.46093114999999,-0.3528152172717439,16047.0,396,194,82.71649484536083,63.1578947368421
74,museo-de-la-almoina,39.4757479,-0.37418119567022656,535.0,29,33,16.21212121212121,62.5
90,playa-pinedo-valencia,39.41891105,-0.3338573910365997,7000.0,250,898,7.795100222717149,61.53846153846154
61,la-pequena-pasteleria-de-mama,39.4548641,-0.35749780000000003,1419.0,64,122,11.631147540983607,60.86956521739131
8,bastard-coffee-kitchen,39.4754114,-0.3486607,6325.0,183,870,7.2701149425287355,60.0
59,la-mas-bonita,39.4851991,-0.32557379999999997,6331.0,231,822,7.701946472019465,59.183673469387756
95,plaza-de-toros-de-valencia,39.46644455,-0.37609180289634137,11937.0,426,844,14.143364928909953,58.59872611464968
18,calipso-tattoo-piercing-valencia,39.49328870000001,-0.37305309999999997,6921.0,257,949,7.292939936775554,57.99999999999999
